"","Date","sony.de","postbank.de","maxdome.de","vorwerk.de","germanwings.com"
"1",55,225,390,213,258,240
"2",61,227,393,227,256,214
"3",67,224,336,197,262,237
"4",73,238,289,211,254,255
"5",79,239,334,213,244,278
"6",85,223,416,220,234,302
"7",91,217,384,209,232,304
"8",97,217,328,230,235,314
"9",103,221,345,270,235,281
"10",109,228,347,246,220,265
"11",115,232,278,276,208,269
"12",121,242,306,280,205,259
"13",127,255,380,241,200,259
"14",133,265,419,219,205,265
"15",139,266,403,199,207,256
"16",145,272,431,238,206,266
"17",151,281,351,272,207,245
"18",157,281,220,286,216,234
"19",163,288,257,319,220,229
"20",168,291,415,233,217,225
"21",173,294,482,229,227,236
"22",4,295,440,269,235,269
"23",10,288,386,337,251,302
"24",16,289,318,399,269,322
"25",22,288,282,381,284,317
"26",28,287,347,345,295,297
"27",34,279,409,275,312,290
"28",40,278,420,249,330,280
"29",45,280,384,326,340,278
"30",50,279,393,359,345,294
"31",56,275,329,369,356,281
"32",62,272,277,340,358,268
"33",68,274,282,291,354,263
"34",74,276,348,247,355,282
"35",80,266,361,223,347,290
"36",86,256,362,242,347,305
"37",92,257,366,281,333,330
"38",98,255,325,332,320,360
"39",104,259,287,370,307,339
"40",110,248,325,381,307,322
"41",116,248,379,352,295,311
"42",122,254,359,311,292,275
"43",128,258,340,314,288,276
"44",134,272,355,309,275,315
"45",140,257,329,321,269,326
"46",146,250,294,331,268,303
"47",152,253,325,358,269,264
"48",158,251,373,374,268,288
"49",164,247,377,387,270,296
"50",169,238,367,372,270,303
"51",174,236,403,370,275,317
"52",178,232,380,339,283,323
"53",5,227,354,348,290,325
"54",11,224,369,363,295,300
"55",17,223,418,372,291,316
"56",23,222,431,374,296,333
"57",29,226,394,377,303,302
"58",35,228,366,409,301,288
"59",41,226,318,443,296,287
"60",46,223,295,406,298,301
"61",51,215,310,360,297,297
"62",57,214,383,298,296,307
"63",63,215,384,268,300,332
"64",69,216,363,257,303,335
"65",75,219,393,296,305,320
"66",81,214,322,340,304,317
"67",87,206,255,345,311,321
"68",93,210,309,346,311,303
"69",99,210,411,347,309,294
"70",105,205,378,340,310,318
"71",111,200,340,350,311,296
"72",117,200,318,347,308,300
"73",123,201,286,348,310,308
"74",129,201,277,352,312,334
"75",135,200,307,355,304,356
"76",141,201,347,343,302,376
"77",147,204,366,326,298,395
"78",153,200,349,328,290,384
"79",159,199,387,354,282,348
"80",165,201,372,363,276,350
"81",170,208,340,366,258,324
"82",175,208,368,359,256,326
"83",6,210,456,366,248,351
"84",12,216,421,385,242,355
"85",18,219,362,392,231,342
"86",24,218,364,417,225,319
"87",30,224,325,405,225,294
"88",36,220,289,361,213,326
"89",42,218,331,327,211,343
"90",47,213,394,341,203,323
"91",52,213,372,389,196,303
"92",58,211,340,415,194,300
"93",64,210,355,451,194,330
"94",70,210,324,439,201,382
"95",76,212,292,400,188,429
"96",82,214,326,356,178,430
"97",88,217,394,343,177,365
"98",94,224,385,365,179,327
"99",100,219,368,365,178,337
"100",106,219,363,358,166,339
"101",112,219,335,354,162,352
"102",118,225,277,354,163,376
"103",124,226,275,356,173,357
"104",130,232,345,356,180,343
"105",136,236,352,385,186,341
"106",142,238,264,378,194,363
"107",148,238,228,355,198,360
"108",154,242,257,365,210,375
"109",160,242,245,360,224,403
"110",166,238,287,376,235,381
"111",171,236,382,394,258,348
"112",176,236,413,419,264,343
"113",179,236,341,401,274,303
"114",1,239,367,387,276,306
"115",7,239,381,401,283,336
"116",13,242,351,395,287,393
"117",19,243,340,367,289,404
"118",25,240,387,344,282,405
"119",31,242,394,314,274,410
"120",37,252,381,320,271,373
"121",43,253,370,325,270,343
"122",48,254,317,369,269,356
"123",53,255,312,363,275,359
"124",59,257,343,334,274,355
"125",65,256,385,296,281,355
"126",71,262,371,281,277,321
"127",77,264,365,302,286,309
"128",83,266,363,329,285,315
"129",89,269,328,366,287,335
"130",95,267,291,387,281,336
"131",101,271,314,375,285,343
"132",107,265,359,350,291,359
"133",113,261,365,317,306,357
"134",119,261,352,291,320,335
"135",125,257,358,306,316,336
"136",131,257,319,342,319,324
"137",137,258,278,377,329,307
"138",143,259,278,369,328,303
"139",149,251,327,355,319,308
"140",155,255,342,302,312,333
"141",161,255,350,299,309,362
"142",167,252,383,310,303,404
"143",172,250,360,341,296,432
"144",177,254,339,333,284,385
"145",2,254,353,348,282,304
"146",8,255,402,325,264,290
"147",14,255,384,295,248,315
"148",20,258,347,288,239,341
"149",26,255,331,334,229,359
"150",32,251,320,368,232,361
"151",38,251,302,404,241,363
"152",44,254,306,395,232,396
"153",49,252,361,354,236,430
"154",54,254,357,292,235,453
"155",60,252,333,290,243,392
"156",66,257,316,340,245,369
"157",72,260,315,377,249,335
"158",78,261,293,365,252,309
"159",84,262,305,344,258,308
"160",90,264,331,311,270,313
"161",96,262,337,261,278,305
"162",102,260,329,258,286,340
"163",108,254,339,274,300,351
"164",114,247,309,297,307,384
"165",120,245,267,305,316,353
"166",126,246,303,321,311,367
"167",132,246,357,334,312,350
"168",138,247,373,310,308,360
"169",144,245,371,267,296,350
"170",150,244,424,297,278,368
"171",156,246,390,306,268,368
"172",162,241,349,330,260,348
"173",3,240,362,356,252,343
"174",9,237,427,335,247,335
"175",15,231,403,302,229,333
"176",21,232,364,283,208,359
"177",27,230,349,278,199,351
"178",33,231,332,340,192,356
"179",39,231,304,354,193,327
