"","Date","navabi.de","sheego.de","happy.size.de","ullapopken.de"
"1",97,259,322,454,834
"2",103,271,297,450,899
"3",109,257,288,457,913
"4",115,243,279,471,956
"5",121,237,278,484,996
"6",127,231,273,479,948
"7",133,222,261,482,982
"8",139,211,263,485,973
"9",145,197,276,483,964
"10",151,190,283,489,929
"11",157,199,286,481,910
"12",163,207,289,472,890
"13",168,214,310,440,858
"14",173,207,375,421,853
"15",4,214,474,415,823
"16",10,235,507,400,779
"17",16,259,456,397,763
"18",22,280,479,388,775
"19",28,299,516,368,782
"20",34,326,519,371,686
"21",40,321,519,340,647
"22",46,330,519,333,543
"23",52,353,524,326,484
"24",58,345,544,330,478
"25",64,347,552,351,424
"26",70,326,552,377,419
"27",76,327,539,408,437
"28",82,312,541,397,533
"29",87,320,522,383,525
"30",92,308,514,415,564
"31",98,274,508,425,593
"32",104,263,533,410,571
"33",110,245,514,428,640
"34",116,230,505,424,614
"35",122,231,492,413,665
"36",128,236,482,420,659
"37",134,246,497,408,707
"38",140,262,505,399,734
"39",146,275,508,428,728
"40",152,287,513,424,754
"41",158,272,532,433,780
"42",164,282,517,428,788
"43",169,310,511,434,766
"44",174,328,514,435,766
"45",178,360,511,452,773
"46",5,391,515,467,769
"47",11,376,502,484,781
"48",17,414,527,496,789
"49",23,417,537,489,781
"50",29,423,524,490,792
"51",35,412,527,483,771
"52",41,415,505,471,762
"53",47,416,483,474,786
"54",53,417,482,459,804
"55",59,396,496,451,789
"56",65,373,503,429,762
"57",71,358,517,442,754
"58",77,353,514,434,742
"59",83,346,532,426,715
"60",88,338,513,422,715
"61",93,318,503,409,684
"62",99,303,514,395,662
"63",105,296,534,385,649
"64",111,304,532,394,658
"65",117,281,516,406,624
"66",123,308,493,414,632
"67",129,311,491,419,645
"68",135,316,481,395,661
"69",141,327,477,403,593
"70",147,349,475,414,573
"71",153,346,484,428,573
"72",159,339,478,443,569
"73",165,360,473,461,532
"74",170,373,458,461,499
"75",175,383,436,486,479
"76",6,385,428,498,469
"77",12,383,426,504,480
"78",18,374,402,522,449
"79",24,388,396,558,422
"80",30,401,407,569,444
"81",36,402,437,584,441
"82",42,408,462,607,431
"83",48,417,465,609,421
"84",54,411,475,598,436
"85",60,411,493,598,444
"86",66,415,500,587,437
"87",72,414,495,563,422
"88",78,422,527,548,408
"89",84,402,513,539,396
"90",89,390,505,512,405
"91",94,379,459,471,404
"92",100,379,427,458,429
"93",106,374,422,437,487
"94",112,381,422,395,509
"95",118,389,426,368,512
"96",124,399,439,347,489
"97",130,407,439,346,450
"98",136,420,431,322,430
"99",142,427,448,310,418
"100",148,422,461,295,417
"101",154,420,473,294,414
"102",160,427,490,293,413
"103",166,419,514,315,402
"104",171,423,527,328,436
"105",176,424,541,391,476
"106",179,432,554,388,534
"107",1,411,558,374,591
"108",7,405,571,332,610
"109",13,392,601,320,645
"110",19,368,633,315,689
"111",25,350,661,331,752
"112",31,333,660,371,795
"113",37,322,673,377,816
"114",43,320,661,389,834
"115",49,295,642,429,849
"116",55,282,632,461,851
"117",61,263,610,486,831
"118",67,255,584,517,816
"119",73,249,544,566,817
"120",79,245,528,600,809
"121",85,242,503,632,807
"122",90,239,487,668,771
"123",95,258,465,680,740
"124",101,278,475,701,724
"125",107,296,489,719,693
"126",113,317,478,723,649
"127",119,342,484,724,596
"128",125,364,512,730,557
"129",131,351,489,723,526
"130",137,351,480,729,499
"131",143,392,475,696,512
"132",149,372,474,685,523
"133",155,343,476,648,568
"134",161,321,467,599,584
"135",167,323,467,568,615
"136",172,322,470,537,623
"137",177,318,438,513,617
"138",2,328,421,482,667
"139",8,339,425,454,685
"140",14,346,432,438,697
"141",20,360,430,432,693
"142",26,381,448,441,695
"143",32,394,472,467,704
"144",38,428,491,493,745
"145",44,439,510,552,743
"146",50,444,519,527,761
"147",56,467,523,500,754
"148",62,499,517,459,716
"149",68,497,528,455,713
"150",74,483,537,448,706
"151",80,479,548,445,702
"152",86,472,544,454,697
"153",91,454,550,422,691
"154",96,445,552,432,658
"155",102,425,569,423,642
"156",108,425,583,410,602
"157",114,400,591,387,568
"158",120,396,600,366,563
"159",126,371,593,375,547
"160",132,348,611,352,540
"161",138,326,592,344,541
"162",144,299,574,349,518
"163",150,287,556,342,540
"164",156,262,543,356,542
"165",162,249,532,364,540
"166",3,244,520,371,555
"167",9,265,510,392,563
"168",15,282,502,393,573
"169",21,298,489,404,563
"170",27,341,500,418,538
"171",33,384,510,392,539
"172",39,366,487,395,521
"173",45,368,475,379,503
"174",51,362,484,376,494
"175",57,361,471,383,501
"176",63,367,445,388,488
"177",69,379,409,389,506
"178",75,373,393,394,518
"179",81,361,391,395,488
