"","Date","rewe.de","edeka.de","lidl.de","kaufland.de","penny.de"
"1",49,301,149,205,178,139
"2",55,304,163,196,166,128
"3",61,312,164,229,161,133
"4",67,311,166,271,157,137
"5",73,311,174,301,163,140
"6",79,316,172,279,157,145
"7",85,323,174,231,163,149
"8",91,332,180,193,167,151
"9",97,337,159,217,179,157
"10",103,349,159,242,180,154
"11",109,354,142,213,193,152
"12",115,355,125,237,197,163
"13",121,359,110,262,211,162
"14",127,368,110,299,211,168
"15",133,386,128,265,214,169
"16",139,385,153,215,223,171
"17",145,384,161,197,223,169
"18",151,372,162,218,227,169
"19",157,375,159,211,238,169
"20",163,370,158,214,233,169
"21",168,369,159,244,238,167
"22",173,366,165,279,241,166
"23",4,346,169,276,237,166
"24",10,346,183,242,238,166
"25",16,325,165,223,238,165
"26",22,306,143,280,241,163
"27",28,289,148,313,239,165
"28",34,284,155,293,239,162
"29",39,269,170,267,234,162
"30",44,263,192,254,232,159
"31",50,249,206,251,228,158
"32",56,259,210,278,222,158
"33",62,254,216,322,229,161
"34",68,240,221,322,231,163
"35",74,244,230,279,234,164
"36",80,263,221,258,237,168
"37",86,262,206,274,241,164
"38",92,272,184,276,248,160
"39",98,249,163,252,248,160
"40",104,258,147,270,255,159
"41",110,267,138,273,253,156
"42",116,274,145,284,257,156
"43",122,290,164,322,266,156
"44",128,292,184,301,266,155
"45",134,304,169,240,264,156
"46",140,303,162,256,261,150
"47",146,309,162,297,263,150
"48",152,319,149,285,258,147
"49",158,318,143,285,256,146
"50",164,335,141,268,249,144
"51",169,336,135,242,250,145
"52",174,362,130,226,251,139
"53",178,350,128,259,251,135
"54",5,352,127,261,252,134
"55",11,350,139,260,245,130
"56",17,347,150,257,248,136
"57",23,355,148,298,243,139
"58",29,364,143,295,241,137
"59",35,381,145,261,238,137
"60",40,386,142,257,239,142
"61",45,387,132,281,243,147
"62",51,396,136,302,240,149
"63",57,401,143,291,238,152
"64",63,401,126,302,237,155
"65",69,380,124,260,243,157
"66",75,375,126,264,249,159
"67",81,382,132,269,254,161
"68",87,382,138,304,258,168
"69",93,382,155,283,260,172
"70",99,392,178,275,265,177
"71",105,390,180,272,265,177
"72",111,401,190,266,264,178
"73",117,386,193,247,266,182
"74",123,381,189,261,267,183
"75",129,381,184,280,267,186
"76",135,375,183,281,264,189
"77",141,366,170,248,258,188
"78",147,355,157,246,252,188
"79",153,349,152,254,249,186
"80",159,348,148,256,248,180
"81",165,349,143,225,243,177
"82",170,343,153,260,242,173
"83",175,347,165,262,237,168
"84",6,344,159,254,224,163
"85",12,349,157,250,214,156
"86",18,335,153,258,211,151
"87",24,330,147,233,199,150
"88",30,333,139,237,189,148
"89",36,334,135,256,186,148
"90",41,344,131,264,179,143
"91",46,346,123,257,180,140
"92",52,368,125,274,174,131
"93",58,346,126,264,175,124
"94",64,331,129,227,168,118
"95",70,321,127,230,161,116
"96",76,318,128,261,166,118
"97",82,315,130,253,159,113
"98",88,313,126,211,166,116
"99",94,319,126,214,168,117
"100",100,322,131,231,173,119
"101",106,311,134,245,171,120
"102",112,312,134,215,172,123
"103",118,301,135,212,178,125
"104",124,288,132,217,183,127
"105",130,272,139,244,188,128
"106",136,272,136,222,194,127
"107",142,263,131,225,201,127
"108",148,254,134,236,210,129
"109",154,247,133,245,215,129
"110",160,247,133,251,223,131
"111",166,240,141,297,222,130
"112",171,248,152,323,227,137
"113",176,257,158,263,236,139
"114",179,273,167,212,240,141
"115",1,279,176,216,243,140
"116",7,284,181,245,245,142
"117",13,289,178,241,248,143
"118",19,303,171,266,247,147
"119",25,313,173,266,250,149
"120",31,319,161,291,246,149
"121",37,328,152,293,249,148
"122",42,330,153,265,243,149
"123",47,331,152,275,237,149
"124",53,334,154,339,235,149
"125",59,342,169,314,232,146
"126",65,327,174,278,234,147
"127",71,328,181,270,230,151
"128",77,330,190,271,234,153
"129",83,338,193,266,237,154
"130",89,344,195,272,240,153
"131",95,346,198,248,249,153
"132",101,358,190,263,245,148
"133",107,343,180,256,253,148
"134",113,339,164,263,250,146
"135",119,337,154,274,254,146
"136",125,338,145,292,256,145
"137",131,329,126,261,261,147
"138",137,327,120,285,271,150
"139",143,326,126,297,267,149
"140",149,326,121,272,267,150
"141",155,328,116,241,261,151
"142",161,327,122,262,262,153
"143",167,327,129,245,261,153
"144",172,334,135,247,261,155
"145",177,332,132,272,260,153
"146",2,338,134,300,256,152
"147",8,338,139,310,259,153
"148",14,348,150,315,255,152
"149",20,342,157,297,250,148
"150",26,341,163,252,249,146
"151",32,340,173,234,244,143
"152",38,343,166,244,247,146
"153",43,342,171,281,245,140
"154",48,353,172,285,249,140
"155",54,362,168,277,253,136
"156",60,354,166,239,251,133
"157",66,355,160,232,252,134
"158",72,359,156,242,253,136
"159",78,353,155,277,259,135
"160",84,348,153,276,260,140
"161",90,345,148,258,264,142
"162",96,346,148,233,263,141
"163",102,340,152,266,266,142
"164",108,338,159,257,269,145
"165",114,328,147,261,273,147
"166",120,325,137,270,282,153
"167",126,324,134,301,282,159
"168",132,312,141,253,274,158
"169",138,317,136,238,271,161
"170",144,317,133,226,270,159
"171",150,316,134,258,272,159
"172",156,319,129,267,270,161
"173",162,321,139,283,275,165
"174",3,323,145,279,275,164
"175",9,320,150,283,272,162
"176",15,324,160,266,272,160
"177",21,324,177,247,276,161
"178",27,324,178,206,277,160
"179",33,317,183,221,277,162
