"","Date","rewe.de","toom.baumarkt.de","bipa.at"
"1",2,244,204,259
"2",9,268,197,282
"3",16,271,197,280
"4",23,269,185,312
"5",29,273,184,343
"6",35,271,181,387
"7",41,282,182,387
"8",47,277,178,430
"9",53,271,184,448
"10",59,277,189,466
"11",65,267,203,512
"12",71,261,213,466
"13",77,259,221,607
"14",83,270,210,723
"15",89,253,212,819
"16",95,241,209,871
"17",101,232,200,923
"18",107,235,192,925
"19",113,223,191,928
"20",119,216,187,927
"21",125,229,189,931
"22",131,236,183,977
"23",137,243,182,992
"24",143,256,182,987
"25",149,271,182,935
"26",155,276,184,913
"27",161,288,187,888
"28",167,302,187,890
"29",173,320,195,863
"30",179,342,199,836
"31",185,343,195,810
"32",3,333,193,784
"33",10,333,189,763
"34",17,335,185,721
"35",24,331,187,741
"36",30,330,196,680
"37",36,334,206,616
"38",42,331,193,554
"39",48,327,188,548
"40",54,317,185,539
"41",60,328,182,542
"42",66,318,190,530
"43",72,297,199,418
"44",78,293,197,343
"45",84,301,200,323
"46",90,304,202,282
"47",96,307,203,246
"48",102,282,205,246
"49",108,268,207,209
"50",114,266,207,160
"51",120,259,209,204
"52",126,273,212,219
"53",132,272,229,239
"54",138,285,222,201
"55",144,270,230,216
"56",150,278,234,282
"57",156,281,239,290
"58",162,296,241,298
"59",168,293,244,356
"60",174,293,240,329
"61",180,293,241,359
"62",186,284,245,363
"63",4,291,250,364
"64",11,297,248,369
"65",18,304,234,385
"66",25,314,232,373
"67",31,314,213,353
"68",37,328,206,365
"69",43,317,196,360
"70",49,320,192,366
"71",55,301,189,357
"72",61,304,193,366
"73",67,312,191,369
"74",73,311,194,373
"75",79,311,196,379
"76",85,316,197,385
"77",91,323,186,371
"78",97,332,182,378
"79",103,337,186,385
"80",109,349,186,390
"81",115,354,194,395
"82",121,355,202,395
"83",127,359,202,400
"84",133,368,191,392
"85",139,386,192,404
"86",145,385,188,385
"87",151,384,191,385
"88",157,372,192,384
"89",163,375,185,389
"90",169,370,192,389
"91",175,369,191,410
"92",181,366,193,400
"93",5,346,195,390
"94",12,346,198,359
"95",19,325,202,338
"96",26,306,206,308
"97",32,289,207,294
"98",38,284,205,279
"99",44,269,200,263
"100",50,263,197,264
"101",56,249,203,252
"102",62,259,203,257
"103",68,254,201,255
"104",74,240,204,264
"105",80,244,202,272
"106",86,263,205,265
"107",92,262,202,258
"108",98,272,209,257
"109",104,249,219,260
"110",110,258,206,264
"111",116,267,207,270
"112",122,274,204,250
"113",128,290,208,244
"114",134,292,213,248
"115",140,304,215,265
"116",146,303,221,223
"117",152,309,224,240
"118",158,319,221,235
"119",164,318,224,233
"120",170,335,229,248
"121",176,336,237,269
"122",182,362,244,251
"123",187,350,253,242
"124",6,352,253,250
"125",13,350,256,274
"126",20,347,249,270
"127",27,355,240,283
"128",33,364,231,275
"129",39,381,227,260
"130",45,386,225,245
"131",51,387,220,265
"132",57,396,213,263
"133",63,401,208,251
"134",69,401,199,257
"135",75,380,196,270
"136",81,375,194,294
"137",87,382,197,320
"138",93,382,186,334
"139",99,382,189,343
"140",105,392,192,360
"141",111,390,201,365
"142",117,401,204,370
"143",123,386,206,381
"144",129,381,214,390
"145",135,381,205,391
"146",141,375,205,391
"147",147,366,210,384
"148",153,355,216,383
"149",159,349,212,379
"150",165,348,197,374
"151",171,349,189,364
"152",177,343,190,359
"153",183,347,186,345
"154",7,344,187,314
"155",14,349,180,294
"156",21,335,180,286
"157",28,330,170,274
"158",34,333,169,246
"159",40,334,168,199
"160",46,344,166,176
"161",52,346,161,174
"162",58,368,162,158
"163",64,356,166,140
"164",70,336,169,142
"165",76,317,173,147
"166",82,307,170,158
"167",88,308,177,160
"168",94,303,175,197
"169",100,309,181,201
"170",106,321,185,205
"171",112,312,191,204
"172",118,315,192,230
"173",124,313,197,239
"174",130,310,195,240
"175",136,293,193,251
"176",142,276,190,262
"177",148,281,192,267
"178",154,259,189,275
"179",160,247,192,286
"180",166,244,196,306
"181",172,244,204,319
"182",178,243,203,317
"183",184,250,207,314
"184",188,269,212,316
"185",1,265,211,318
"186",8,264,211,314
"187",15,268,218,312
"188",22,278,217,309
