"","Date","REWE","toom","BIPA"
"1",3,244,204,259
"2",11,268,197,282
"3",19,271,197,280
"4",27,269,185,312
"5",35,273,184,343
"6",43,271,181,387
"7",51,282,182,387
"8",59,277,178,430
"9",67,271,184,448
"10",75,277,189,466
"11",83,267,203,512
"12",91,261,213,466
"13",99,259,221,607
"14",107,270,210,723
"15",115,253,212,819
"16",122,241,209,871
"17",129,232,200,923
"18",136,235,192,925
"19",143,223,191,928
"20",150,216,187,927
"21",157,229,189,931
"22",164,236,183,977
"23",171,243,182,992
"24",178,256,182,987
"25",185,271,182,935
"26",192,276,184,913
"27",199,288,187,888
"28",206,302,187,890
"29",213,320,195,863
"30",220,342,199,836
"31",227,343,195,810
"32",4,333,193,784
"33",12,333,189,763
"34",20,335,185,721
"35",28,331,187,741
"36",36,330,196,680
"37",44,334,206,616
"38",52,331,193,554
"39",60,327,188,548
"40",68,317,185,539
"41",76,328,182,542
"42",84,318,190,530
"43",92,297,199,418
"44",100,293,197,343
"45",108,301,200,323
"46",116,304,202,282
"47",123,307,203,246
"48",130,282,205,246
"49",137,268,207,209
"50",144,266,207,160
"51",151,259,209,204
"52",158,273,212,219
"53",165,272,229,239
"54",172,285,222,201
"55",179,270,230,216
"56",186,278,234,282
"57",193,281,239,290
"58",200,296,241,298
"59",207,293,244,356
"60",214,293,240,329
"61",221,293,241,359
"62",228,284,245,363
"63",5,291,250,364
"64",13,297,248,369
"65",21,304,234,385
"66",29,314,232,373
"67",37,314,213,353
"68",45,328,206,365
"69",53,317,196,360
"70",61,320,192,366
"71",69,301,189,357
"72",77,304,193,366
"73",85,312,191,369
"74",93,311,194,373
"75",101,311,196,379
"76",109,316,197,385
"77",117,323,186,371
"78",124,332,182,378
"79",131,337,186,385
"80",138,349,186,390
"81",145,354,194,395
"82",152,355,202,395
"83",159,359,202,400
"84",166,368,191,392
"85",173,386,192,404
"86",180,385,188,385
"87",187,384,191,385
"88",194,372,192,384
"89",201,375,185,389
"90",208,370,192,389
"91",215,369,191,410
"92",222,366,193,400
"93",6,346,195,390
"94",14,346,198,359
"95",22,325,202,338
"96",30,306,206,308
"97",38,289,207,294
"98",46,284,205,279
"99",54,269,200,263
"100",62,263,197,264
"101",70,249,203,252
"102",78,259,203,257
"103",86,254,201,255
"104",94,240,204,264
"105",102,244,202,272
"106",110,263,205,265
"107",118,262,202,258
"108",125,272,209,257
"109",132,249,219,260
"110",139,258,206,264
"111",146,267,207,270
"112",153,274,204,250
"113",160,290,208,244
"114",167,292,213,248
"115",174,304,215,265
"116",181,303,221,223
"117",188,309,224,240
"118",195,319,221,235
"119",202,318,224,233
"120",209,335,229,248
"121",216,336,237,269
"122",223,362,244,251
"123",229,350,253,242
"124",7,352,253,250
"125",15,350,256,274
"126",23,347,249,270
"127",31,355,240,283
"128",39,364,231,275
"129",47,381,227,260
"130",55,386,225,245
"131",63,387,220,265
"132",71,396,213,263
"133",79,401,208,251
"134",87,401,199,257
"135",95,380,196,270
"136",103,375,194,294
"137",111,382,197,320
"138",119,382,186,334
"139",126,382,189,343
"140",133,392,192,360
"141",140,390,201,365
"142",147,401,204,370
"143",154,386,206,381
"144",161,381,214,390
"145",168,381,205,391
"146",175,375,205,391
"147",182,366,210,384
"148",189,355,216,383
"149",196,349,212,379
"150",203,348,197,374
"151",210,349,189,364
"152",217,343,190,359
"153",224,347,186,345
"154",8,344,187,314
"155",16,349,180,294
"156",24,335,180,286
"157",32,330,170,274
"158",40,333,169,246
"159",48,334,168,199
"160",56,344,166,176
"161",64,346,161,174
"162",72,368,162,158
"163",80,346,167,143
"164",88,331,169,130
"165",96,321,174,141
"166",104,318,167,157
"167",112,315,173,183
"168",120,313,179,208
"169",127,319,184,209
"170",134,322,186,211
"171",141,311,186,204
"172",148,312,197,231
"173",155,301,199,232
"174",162,288,190,237
"175",169,272,190,233
"176",176,272,188,245
"177",183,263,188,254
"178",190,254,185,275
"179",197,247,188,286
"180",204,247,190,289
"181",211,240,197,302
"182",218,248,202,314
"183",225,257,209,336
"184",230,273,222,334
"185",1,279,215,330
"186",9,284,215,331
"187",17,289,217,336
"188",25,303,223,341
"189",33,313,219,339
"190",41,319,214,337
"191",49,328,219,330
"192",57,330,219,337
"193",65,331,216,336
"194",73,334,218,330
"195",81,342,220,324
"196",89,327,218,328
"197",97,328,213,327
"198",105,330,220,314
"199",113,338,213,298
"200",121,344,208,302
"201",128,346,205,302
"202",135,358,203,301
"203",142,343,202,304
"204",149,339,198,298
"205",156,337,205,294
"206",163,338,204,281
"207",170,329,214,274
"208",177,327,212,289
"209",184,326,208,292
"210",191,326,211,281
"211",198,328,211,283
"212",205,331,217,276
"213",212,324,217,269
"214",219,328,211,274
"215",226,332,213,288
"216",2,341,219,278
"217",10,345,211,271
"218",18,347,207,278
"219",26,345,203,274
"220",34,339,198,271
"221",42,338,195,254
"222",50,338,197,253
"223",58,342,199,256
"224",66,349,200,259
"225",74,346,194,265
"226",82,349,187,258
"227",90,349,185,266
"228",98,364,190,282
"229",106,362,177,293
"230",114,361,174,291
